Федеральный округ,Область,Населённый пункт,Зона влажности,Субъект РФ,,Источник: https://bim-proektstroy.ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD-%D1%81%D0%BF%D1%80%D0%B0%D0%B2%D0%BE%D1%87%D0%BD%D0%B8%D0%BA-%D0%B7%D0%BE%D0%BD-%D0%B2%D0%BB%D0%B0%D0%B6%D0%BD%D0%BE%D1%81%D1%82%D0%B8-%D0%BF%D0%BE-%D1%80%D0%B5/
Центральный,Белгородская область,Белгород,нормальная,Белгородская область,,НП Красноярского Края и Республики Саха отнесены к зонам субъектов РФ на основе широты.
Центральный,Белгородская область,Алексеевка,нормальная,Белгородская область,,
Центральный,Белгородская область,Алейниково,нормальная,Белгородская область,,
Центральный,Белгородская область,Алексеенково,нормальная,Белгородская область,,
Центральный,Белгородская область,Афанасьевка,нормальная,Белгородская область,,
Центральный,Белгородская область,Бабичев,нормальная,Белгородская область,,
Центральный,Белгородская область,Батлуков,нормальная,Белгородская область,,
Центральный,Белгородская область,Белозорово,нормальная,Белгородская область,,
Центральный,Белгородская область,Бережной,нормальная,Белгородская область,,
Центральный,Белгородская область,Берёзки,нормальная,Белгородская область,,
Центральный,Белгородская область,Березняги-Вторые,нормальная,Белгородская область,,
Центральный,Белгородская область,Ближнее Чесночное,нормальная,Белгородская область,,
Центральный,Белгородская область,Божково,нормальная,Белгородская область,,
Центральный,Белгородская область,Бубликово,нормальная,Белгородская область,,
Центральный,Белгородская область,Варваровка,нормальная,Белгородская область,,
Центральный,Белгородская область,Васильченков,нормальная,Белгородская область,,
Центральный,Белгородская область,Власов,нормальная,Белгородская область,,
Центральный,Белгородская область,Волков,нормальная,Белгородская область,,
Центральный,Белгородская область,Воробьёво,нормальная,Белгородская область,,
Центральный,Белгородская область,Гарбузово,нормальная,Белгородская область,,
Центральный,Белгородская область,Гезов,нормальная,Белгородская область,,
Центральный,Белгородская область,Геращенково,нормальная,Белгородская область,,
Центральный,Белгородская область,Глуховка,нормальная,Белгородская область,,
Центральный,Белгородская область,Голубинский,нормальная,Белгородская область,,
Центральный,Белгородская область,Городище,нормальная,Белгородская область,,
Центральный,Белгородская область,Гречаников,нормальная,Белгородская область,,
Центральный,Белгородская область,Дальнее Чесночное,нормальная,Белгородская область,,
Центральный,Белгородская область,Дудчин,нормальная,Белгородская область,,
Центральный,Белгородская область,Жуково,нормальная,Белгородская область,,
Центральный,Белгородская область,Запольное,нормальная,Белгородская область,,
Центральный,Белгородская область,Зварыкино,нормальная,Белгородская область,,
Центральный,Белгородская область,Иващенково,нормальная,Белгородская область,,
Центральный,Белгородская область,Игнатов,нормальная,Белгородская область,,
Центральный,Белгородская область,Иловка,нормальная,Белгородская область,,
Центральный,Белгородская область,Ильинка,нормальная,Белгородская область,,
Центральный,Белгородская область,Калитва,нормальная,Белгородская область,,
Центральный,Белгородская область,Камышеватое,нормальная,Белгородская область,,
Центральный,Белгородская область,Кириченков,нормальная,Белгородская область,,
Центральный,Белгородская область,Климов,нормальная,Белгородская область,,
Центральный,Белгородская область,Ковалево,нормальная,Белгородская область,,
Центральный,Белгородская область,Колтуновка,нормальная,Белгородская область,,
Центральный,Белгородская область,Копанец,нормальная,Белгородская область,,
Центральный,Белгородская область,Красное,нормальная,Белгородская область,,
Центральный,Белгородская область,Кукаречин,нормальная,Белгородская область,,
Центральный,Белгородская область,Кулешов,нормальная,Белгородская область,,
Центральный,Белгородская область,Куприянов,нормальная,Белгородская область,,
Центральный,Белгородская область,Кущино,нормальная,Белгородская область,,
Центральный,Белгородская область,Лесиковка,нормальная,Белгородская область,,
Центральный,Белгородская область,Луценково,нормальная,Белгородская область,,
Центральный,Белгородская область,Матрёно-Гезово,нормальная,Белгородская область,,
Центральный,Белгородская область,Меняйлово,нормальная,Белгородская область,,
Центральный,Белгородская область,Мухоудеровка,нормальная,Белгородская область,,
Центральный,Белгородская область,Надеждовка,нормальная,Белгородская область,,
Центральный,Белгородская область,Неменущий,нормальная,Белгородская область,,
Центральный,Белгородская область,Николаевка,нормальная,Белгородская область,,
Центральный,Белгородская область,Николаевка,нормальная,Белгородская область,,
Центральный,Белгородская область,Новосёловка,нормальная,Белгородская область,,
Центральный,Белгородская область,Орлов,нормальная,Белгородская область,,
Центральный,Белгородская область,Осадчее,нормальная,Белгородская область,,
Центральный,Белгородская область,Осьмаков,нормальная,Белгородская область,,
Центральный,Белгородская область,Папушин,нормальная,Белгородская область,,
Центральный,Белгородская область,Пирогово,нормальная,Белгородская область,,
Центральный,Белгородская область,Подсереднее,нормальная,Белгородская область,,
Центральный,Белгородская область,Покладов,нормальная,Белгородская область,,
Центральный,Белгородская область,Попов,нормальная,Белгородская область,,
Центральный,Белгородская область,Пышнограев,нормальная,Белгородская область,,
Центральный,Белгородская область,Редкодуб,нормальная,Белгородская область,,
Центральный,Белгородская область,Резников,нормальная,Белгородская область,,
Центральный,Белгородская область,Репенка,нормальная,Белгородская область,,
Центральный,Белгородская область,Рыбалкин,нормальная,Белгородская область,,
Центральный,Белгородская область,Сероштанов,нормальная,Белгородская область,,
Центральный,Белгородская область,Сидоркин,нормальная,Белгородская область,,
Центральный,Белгородская область,Славгородское,нормальная,Белгородская область,,
Центральный,Белгородская область,Советское,нормальная,Белгородская область,,
Центральный,Белгородская область,Соломахин,нормальная,Белгородская область,,
Центральный,Белгородская область,Станичное,нормальная,Белгородская область,,
Центральный,Белгородская область,Студеный Колодец,нормальная,Белгородская область,,
Центральный,Белгородская область,Сыроватский,нормальная,Белгородская область,,
Центральный,Белгородская область,Тараканов,нормальная,Белгородская область,,
Центральный,Белгородская область,Теплинка,нормальная,Белгородская область,,
Центральный,Белгородская область,Тютюниково,нормальная,Белгородская область,,
Центральный,Белгородская область,Хлевище,нормальная,Белгородская область,,
Центральный,Белгородская область,Хмызовка,нормальная,Белгородская область,,
Центральный,Белгородская область,Хрещатый,нормальная,Белгородская область,,
Центральный,Белгородская область,Черепов,нормальная,Белгородская область,,
Центральный,Белгородская область,Чупринино,нормальная,Белгородская область,,
Центральный,Белгородская область,Шапорево,нормальная,Белгородская область,,
Центральный,Белгородская область,Шапошников,нормальная,Белгородская область,,
Центральный,Белгородская область,Шелушин,нормальная,Белгородская область,,
Центральный,Белгородская область,Шкуропатов,нормальная,Белгородская область,,
Центральный,Белгородская область,Щербаково,нормальная,Белгородская область,,
Центральный,Брянская область,Белые Берега,нормальная,Брянская область,,
Центральный,Брянская область,Брянск,нормальная,Брянская область,,
Центральный,Брянская область,Большое Полпино,нормальная,Брянская область,,
Центральный,Брянская область,Радица-Крыловка,нормальная,Брянская область,,
Центральный,Брянская область,Ардонь,нормальная,Брянская область,,
Центральный,Брянская область,Займище,нормальная,Брянская область,,
Центральный,Брянская область,Клинцы,нормальная,Брянская область,,
Центральный,Брянская область,Новозыбков,нормальная,Брянская область,,
Центральный,Брянская область,Сельцо,нормальная,Брянская область,,
Центральный,Брянская область,Александровское,нормальная,Брянская область,,
Центральный,Брянская область,Брасово,нормальная,Брянская область,,
Центральный,Брянская область,Буда,нормальная,Брянская область,,
Центральный,Брянская область,Веребск,нормальная,Брянская область,,
Центральный,Брянская область,Верхнее,нормальная,Брянская область,,
Центральный,Брянская область,Весёлый Кут,нормальная,Брянская область,,
Центральный,Брянская область,Ветряк,нормальная,Брянская область,,
Центральный,Брянская область,Воронов Лог,нормальная,Брянская область,,
Центральный,Брянская область,Глоднево,нормальная,Брянская область,,
Центральный,Брянская область,Добрик,нормальная,Брянская область,,
Центральный,Брянская область,Дубровка,нормальная,Брянская область,,
Центральный,Брянская область,Калошичье,нормальная,Брянская область,,
Центральный,Брянская область,Клинское,нормальная,Брянская область,,
Центральный,Брянская область,Коллективист,нормальная,Брянская область,,
Центральный,Брянская область,Коммуна «Пчела»,нормальная,Брянская область,,
Центральный,Брянская область,Коммунар,нормальная,Брянская область,,
Центральный,Брянская область,Красное Поле,нормальная,Брянская область,,
Центральный,Брянская область,Красный Колодец,нормальная,Брянская область,,
Центральный,Брянская область,Кретово,нормальная,Брянская область,,
Центральный,Брянская область,Кропотово,нормальная,Брянская область,,
Центральный,Брянская область,Летча,нормальная,Брянская область,,
Центральный,Брянская область,Локоть,нормальная,Брянская область,,
Центральный,Брянская область,Майский Жук,нормальная,Брянская область,,
Центральный,Брянская область,Нижнее Городище,нормальная,Брянская область,,
Центральный,Брянская область,Николаевский,нормальная,Брянская область,,
Центральный,Брянская область,Новый Добрик,нормальная,Брянская область,,
Центральный,Брянская область,Пахарь,нормальная,Брянская область,,
Центральный,Брянская область,Пожар,нормальная,Брянская область,,
Центральный,Брянская область,Репье,нормальная,Брянская область,,
Центральный,Брянская область,Столбово,нормальная,Брянская область,,
Центральный,Брянская область,Суслова,нормальная,Брянская область,,
Центральный,Брянская область,Телятниково,нормальная,Брянская область,,
Центральный,Брянская область,Троицконикольский,нормальная,Брянская область,,
Центральный,Брянская область,Турищево,нормальная,Брянская область,,
Центральный,Брянская область,Фоменок,нормальная,Брянская область,,
Центральный,Брянская область,Холмецкий Хутор,нормальная,Брянская область,,
Центральный,Брянская область,Хотеева,нормальная,Брянская область,,
Центральный,Брянская область,Чаянка,нормальная,Брянская область,,
Центральный,Брянская область,Чистополянский,нормальная,Брянская область,,
Центральный,Брянская область,Бежань,нормальная,Брянская область,,
Центральный,Брянская область,Большая Дубрава,нормальная,Брянская область,,
Центральный,Брянская область,Большевик,нормальная,Брянская область,,
Центральный,Брянская область,Верный Путь,нормальная,Брянская область,,
Центральный,Брянская область,Весёлый,нормальная,Брянская область,,
Центральный,Брянская область,Глинищево,нормальная,Брянская область,,
Центральный,Брянская область,Госома,нормальная,Брянская область,,
Центральный,Брянская область,Дарковичи,нормальная,Брянская область,,
Центральный,Брянская область,Домашово,нормальная,Брянская область,,
Центральный,Брянская область,Дорожово,нормальная,Брянская область,,
Центральный,Брянская область,Елисеевичи,нормальная,Брянская область,,
Центральный,Брянская область,Журиничи,нормальная,Брянская область,,
Центральный,Брянская область,Зайцев Двор,нормальная,Брянская область,,
Центральный,Брянская область,Ивановка,нормальная,Брянская область,,
Центральный,Брянская область,Кабаличи,нормальная,Брянская область,,
Центральный,Брянская область,Козёлкино,нормальная,Брянская область,,
Центральный,Владимирская область,Владимир,нормальная,Владимирская область,,
Центральный,Владимирская область,Гусь-Хрустальный,нормальная,Владимирская область,,
Центральный,Владимирская область,Ковров,нормальная,Владимирская область,,
Центральный,Владимирская область,Муром,нормальная,Владимирская область,,
Центральный,Владимирская область,Александров,нормальная,Владимирская область,,
Центральный,Владимирская область,Балакирево,нормальная,Владимирская область,,
Центральный,Владимирская область,Карабаново,нормальная,Владимирская область,,
Центральный,Владимирская область,Струнино,нормальная,Владимирская область,,
Центральный,Владимирская область,Вязники,нормальная,Владимирская область,,
Центральный,Владимирская область,Мстёра,нормальная,Владимирская область,,
Центральный,Владимирская область,Никологоры,нормальная,Владимирская область,,
Центральный,Владимирская область,Гороховец,нормальная,Владимирская область,,
Центральный,Владимирская область,Курлово,нормальная,Владимирская область,,
Центральный,Владимирская область,Камешково,нормальная,Владимирская область,,
Центральный,Владимирская область,Киржач,нормальная,Владимирская область,,
Центральный,Владимирская область,Мелехово,нормальная,Владимирская область,,
Центральный,Владимирская область,Кольчугино,нормальная,Владимирская область,,
Центральный,Владимирская область,Меленки,нормальная,Владимирская область,,
Центральный,Владимирская область,Вольгинский,нормальная,Владимирская область,,
Центральный,Владимирская область,Городищи,нормальная,Владимирская область,,
Центральный,Владимирская область,Костерёво,нормальная,Владимирская область,,
Центральный,Владимирская область,Петушки,нормальная,Владимирская область,,
Центральный,Владимирская область,Покров,нормальная,Владимирская область,,
Центральный,Владимирская область,Красная Горбатка,нормальная,Владимирская область,,
Центральный,Владимирская область,Лакинск,нормальная,Владимирская область,,
Центральный,Владимирская область,Собинка,нормальная,Владимирская область,,
Центральный,Владимирская область,Ставрово,нормальная,Владимирская область,,
Центральный,Владимирская область,Судогда,нормальная,Владимирская область,,
Центральный,Владимирская область,Суздаль,нормальная,Владимирская область,,
Центральный,Владимирская область,Юрьев-Польский,нормальная,Владимирская область,,
Центральный,Воронежская область,Воронеж,нормальная,Воронежская область,,
Центральный,Воронежская область,Борисоглебск,нормальная,Воронежская область,,
Центральный,Воронежская область,Нововоронеж,нормальная,Воронежская область,,
Центральный,Воронежская область,Анна,нормальная,Воронежская область,,
Центральный,Воронежская область,Бобров,нормальная,Воронежская область,,
Центральный,Воронежская область,Богучар,нормальная,Воронежская область,,
Центральный,Воронежская область,Бутурлиновка,нормальная,Воронежская область,,
Центральный,Воронежская область,Нижний Кисляй,нормальная,Воронежская область,,
Центральный,Воронежская область,Грибановский,нормальная,Воронежская область,,
Центральный,Воронежская область,Калач,нормальная,Воронежская область,,
Центральный,Воронежская область,Каменка,нормальная,Воронежская область,,
Центральный,Воронежская область,Кантемировка,нормальная,Воронежская область,,
Центральный,Воронежская область,Давыдовка,нормальная,Воронежская область,,
Центральный,Воронежская область,Лиски,нормальная,Воронежская область,,
Центральный,Воронежская область,Елань-Коленовский,нормальная,Воронежская область,,
Центральный,Воронежская область,Новохопёрск,нормальная,Воронежская область,,
Центральный,Воронежская область,Новохопёрский,нормальная,Воронежская область,,
Центральный,Воронежская область,Ольховатка,нормальная,Воронежская область,,
Центральный,Воронежская область,Острогожск,нормальная,Воронежская область,,
Центральный,Воронежская область,Павловск,нормальная,Воронежская область,,
Центральный,Воронежская область,Панино,нормальная,Воронежская область,,
Центральный,Воронежская область,Перелёшинский,нормальная,Воронежская область,,
Центральный,Воронежская область,Поворино,нормальная,Воронежская область,,
Центральный,Воронежская область,Подгоренский,нормальная,Воронежская область,,
Центральный,Воронежская область,Рамонь,нормальная,Воронежская область,,
Центральный,Воронежская область,Россошь,нормальная,Воронежская область,,
Центральный,Воронежская область,Семилуки,нормальная,Воронежская область,,
Центральный,Воронежская область,Стрелица,нормальная,Воронежская область,,
Центральный,Воронежская область,Таловая,нормальная,Воронежская область,,
Центральный,Воронежская область,Хохольский,нормальная,Воронежская область,,
Центральный,Воронежская область,Эртиль,нормальная,Воронежская область,,
Центральный,г. Москва,Москва,нормальная,г. Москва,,
Центральный,Ивановская область,Иваново,нормальная,Ивановская область,,
Центральный,Ивановская область,Вичуга,нормальная,Ивановская область,,
Центральный,Ивановская область,Кинешма,нормальная,Ивановская область,,
Центральный,Ивановская область,Тейково,нормальная,Ивановская область,,
Центральный,Ивановская область,Фурманов,нормальная,Ивановская область,,
Центральный,Ивановская область,Шуя,нормальная,Ивановская область,,
Центральный,Калужская область,Калуга,нормальная,Калужская область,,
Центральный,Калужская область,Обнинск,нормальная,Калужская область,,
Центральный,Костромская область,Кострома,нормальная,Костромская область,,
Центральный,Костромская область,Буй,нормальная,Костромская область,,
Центральный,Костромская область,Волгореченск,нормальная,Костромская область,,
Центральный,Костромская область,Галич,нормальная,Костромская область,,
Центральный,Костромская область,Мантурово,нормальная,Костромская область,,
Центральный,Костромская область,Нерехта,нормальная,Костромская область,,
Центральный,Костромская область,Нея,нормальная,Костромская область,,
Центральный,Костромская область,Шарья,нормальная,Костромская область,,
Центральный,Костромская область,Ветлужский,нормальная,Костромская область,,
Центральный,Липецкая область,Липецк,нормальная,Липецкая область,,
Центральный,Липецкая область,Елец,нормальная,Липецкая область,,
Центральный,Липецкая область,Волово,нормальная,Липецкая область,,
Центральный,Липецкая область,Грязи,нормальная,Липецкая область,,
Центральный,Липецкая область,Данков,нормальная,Липецкая область,,
Центральный,Липецкая область,Задонск,нормальная,Липецкая область,,
Центральный,Липецкая область,Лебедянь,нормальная,Липецкая область,,
Центральный,Липецкая область,Усмань,нормальная,Липецкая область,,
Центральный,Курская область,Курск,нормальная,Курская область,,
Центральный,Курская область,Железногорск,нормальная,Курская область,,
Центральный,Курская область,Курчатов,нормальная,Курская область,,
Центральный,Курская область,Льгов,нормальная,Курская область,,
Центральный,Курская область,Щигры,нормальная,Курская область,,
Центральный,Московская область,Бронницы,нормальная,Московская область,,
Центральный,Московская область,Дзержинский,нормальная,Московская область,,
Центральный,Московская область,Долгопрудный,нормальная,Московская область,,
Центральный,Московская область,Дубна,нормальная,Московская область,,
Центральный,Московская область,Жуковский,нормальная,Московская область,,
Центральный,Московская область,Королёв,нормальная,Московская область,,
Центральный,Московская область,Мытищи,нормальная,Московская область,,
Центральный,Московская область,Котельники,нормальная,Московская область,,
Центральный,Московская область,Люберцы,нормальная,Московская область,,
Центральный,Московская область,Балашиха,нормальная,Московская область,,
Центральный,Московская область,Электросталь,нормальная,Московская область,,
Центральный,Московская область,Лобня,нормальная,Московская область,,
Центральный,Московская область,Лыткарино,нормальная,Московская область,,
Центральный,Московская область,Протвино,нормальная,Московская область,,
Центральный,Московская область,Пущино,нормальная,Московская область,,
Центральный,Московская область,Пушкино,нормальная,Московская область,,
Центральный,Московская область,Реутов,нормальная,Московская область,,
Центральный,Московская область,Ногинск,нормальная,Московская область,,
Центральный,Московская область,Химки,нормальная,Московская область,,
Центральный,Московская область,Электрогорск,нормальная,Московская область,,
Центральный,Московская область,Электроугли,нормальная,Московская область,,
Центральный,Московская область,Красногорск,нормальная,Московская область,,
Центральный,Московская область,Краснознаменск,нормальная,Московская область,,
Центральный,Московская область,Красноармейск,нормальная,Московская область,,
Центральный,Московская область,Фрязино,нормальная,Московская область,,
Центральный,Московская область,Фрязево,нормальная,Московская область,,
Центральный,Московская область,Юбилейный,нормальная,Московская область,,
Центральный,Московская область,Наро-Фоминск,нормальная,Московская область,,
Центральный,Московская область,Истра,нормальная,Московская область,,
Центральный,Московская область,Воскресенск,нормальная,Московская область,,
Центральный,Московская область,Верея,нормальная,Московская область,,
Центральный,Московская область,Видное,нормальная,Московская область,,
Центральный,Московская область,Волоколамск,нормальная,Московская область,,
Центральный,Московская область,Клин,нормальная,Московская область,,
Центральный,Московская область,Одинцово,нормальная,Московская область,,
Центральный,Московская область,Дзержинский,нормальная,Московская область,,
Центральный,Московская область,Дмитров,нормальная,Московская область,,
Центральный,Московская область,Домодедово,нормальная,Московская область,,
Центральный,Московская область,Егорьевск,нормальная,Московская область,,
Центральный,Московская область,Зарайск,нормальная,Московская область,,
Центральный,Московская область,Звенигород,нормальная,Московская область,,
Центральный,Московская область,Кашира,нормальная,Московская область,,
Центральный,Московская область,Коломна,нормальная,Московская область,,
Центральный,Московская область,Кубинка,нормальная,Московская область,,
Центральный,Московская область,Куровское,нормальная,Московская область,,
Центральный,Московская область,Ликино-Дулёво,нормальная,Московская область,,
Центральный,Московская область,Лобня,нормальная,Московская область,,
